Year,Black Mountain_06,Canada Bonia South_12,Canada Bonia South-18,cerro bandera north_05,cerro bandera north_13,cerro bandera north_15,cerro bandera north_17,Fillmore Side Canyon 2_FSTPN,hitchcock_06,Hoya de cibola_12,Hoya de cibola_14,Hoya de cibola_24,Hoya de cibola_27,La Luz Trail_100,La Luz Trail_110,La Luz Trail_120,La Marchanita_10,La Marchanita_25,La Marchanita_26,La Marchanita_32,Mesita Blanca_01,Mesita Blanca_15,Mesita Blanca_19,Mica Mountain_04,Monument Canyon Natural Area_18,N Alamo bog_05,old pine bluff_10,old pine bluff_11,old pine bluff_13,Peters Flat_01,Peters Flat_02,Peters Flat_05,Rincon Peak_01,Rincon Peak_03,Rito de los Frijoles GP3_46,Rock house spring_01,Round Mountain_02,Round Mountain_04,Round Mountain_07,Round Mountain_09,Round Mountain_75,High Sierra Ridge Pine_04,Baja LIBO_9002,Black Mountain SJbm_19,Blacks Mountain 43b_25,Blacks Mountain 43b_30,Blacks Mountain 43b_31,Blacks Mountain 44b_25,Blacks Mountain 44b_42,Blacks Mountain 49b_13,Blacks Mountain 49b-16,Blacks Mountain 49b-29,Blacks Mountain 49b_32
1821,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1822,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,2,,0,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,2,2,0,2,0,0,0,0,0
1823,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1824,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1825,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1826,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1827,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,2,1,0,1,0,0,0,0,0
1828,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1829,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1830,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1831,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1832,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1833,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1834,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
1835,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,1,1,1,1,,0,0,1,1,0,1,0,0,0,0,0
1836,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,1,1,1,1,,0,0,1,1,0,1,0,0,0,0,0
1837,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,1,1,1,1,,0,0,1,1,0,1,0,0,0,0,0
1838,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,1,,0,,,,0,0,0,0,1,0,2,1,0,1,1,1,,0,0,1,1,0,1,0,0,0,0,0
1839,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,1,,0,0,2,2,0,1,0,0,0,0,0
1840,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,1,,0,0,1,0,0,1,0,0,0,0,0
1841,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,,,0,0,0,2,,0,,,,0,0,0,0,1,0,1,1,0,1,1,1,,0,0,1,0,0,2,0,0,0,0,0
1842,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,1,,0,0,1,0,0,0,0,0,0,0,0
1843,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,1,,0,0,1,0,0,0,0,0,0,0,0
1844,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,1,,0,0,1,0,0,0,0,0,0,0,0
1845,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,1,,0,0,1,0,0,0,0,0,0,0,0
1846,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1847,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1848,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1849,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1850,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1851,0,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1852,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1853,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1854,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1855,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1856,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,2,0,0,0,0,0,0,0,0
1857,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,1,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1858,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1859,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,1,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1860,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1861,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1862,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1863,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,2,,0,,,,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1864,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,1,0,0,0,0,0,0,0,0
1865,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,2,,0,,,,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,2,0,0,0,0,0,0,0,0
1866,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
1867,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
1868,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
1869,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
1870,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
1871,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1872,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1873,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,2,,0,,,,0,0,0,0,0,0,0,2,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1874,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1876,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1877,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1878,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1879,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,2,,0,,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1880,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,2,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1925,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,0,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,,,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,,,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,0,,,,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
